Id,Text,Text_en,Text_ja,ChoiceText1,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_en,Notification_ja
对话Id,对话正文,,,选项1文本,,,,,,,,
1,在虚无与混沌的边缘，一道沉寂已久的宿体开始被重塑。,"At the edge of void and chaos, a long-dormant vessel began to be remade.",虚無と混沌の縁で、長く沈んでいた宿体が再び形作られ始めた。,,,,,,,,,
2,她的意识如同冬眠初醒的幼兽，迟钝而缓慢地爬升。,Her consciousness rose like a young beast rousing from hibernation—dull and slow.,彼女の意識は、冬眠から覚めた幼獣のように、鈍くゆっくりと昇っていった。,,,,,,,,,
3,在一切的疑惑之前，有一个悬而未决的难题——,"Before all doubt, there was one question left hanging—",あらゆる疑いの前に、一つだけ未解決の難題があった——,,,,,,,,,
4,少女的名字是……,,,原初魔女 · 阿米莉娅,Primordial Witch · Amelia,原初魔女・アメリア,,,,,,
5,阿米莉娅。,Amelia.,アメリア。,,,,,,,,,
6,想起这一点的瞬间，一道声音从黑暗中将阿米莉娅的思绪拽出。,"The instant she remembered, a voice pulled Amelia's thoughts out of the darkness.",それを思い出した瞬間、声が闇からアメリアの思考を引きずり出した。,,,,,,,,,
7,阿米莉娅……？阿米莉娅……？,Amelia...? Amelia...?,アメリア……？アメリア……？,,,,,,,,,
8,谁……？,Who...?,誰……？,,,,,,,,,
9,太好啦！你终于醒了！我还在想要是你醒不过来要不要把你捅死回炉重造一下~,Great! You're finally awake! I was thinking if you didn't wake up I might have to stab you and start over~,やった！やっと起きた！起きなきゃ刺してやり直そうかって思ってた～,一上来就震撼发言……？,So that's the opening line...?,いきなり衝撃発言……？,你这家伙在说什么呢……？,What kind of thing is that to say...?,お前何言ってんだ……？,,,
10,毕竟这对于你我是最便利的方法呢~我还以为你已经习惯了。,"It's the most convenient for both of us, after all~ I thought you were used to it.",何せあなたにとっても私にとっても一番手っ取り早いんだから～もう慣れてると思ってたのに。,,,,,,,,,
11,我想应该没人能习惯这种喊人起床的习惯……,I don't think anyone could get used to that kind of wake-up call...,そんな起こし方に慣れる人いないと思う……,,,,,,,,,
12,不对哦~如果是阿米莉娅酱的话，我想一定能够理解的。,"Not at all~ If it's Amelia-chan, I'm sure you'd understand.",違うわよ～アメリアちゃんならきっと分かってくれると思ってた。,,,,,,,,,
13,……不要一边笑着一边说着恐怖的话啊喂！,......Don't say terrifying things with a smile on your face!,……笑いながら怖いこと言うな！,,,,,,,,,
14,啊……忘了确认，毕竟是刚从长眠中苏醒，阿米莉娅酱，关于我和这个世界你还记得多少……？,"Ah... I forgot to check. You just woke from a long sleep, Amelia-chan—how much do you remember about me and this world...?",あ……確認忘れてた。長い眠りから覚めたばかりだもの、アメリアちゃん、私とこの世界のこと、どれくらい覚えてる……？,,,,,,,,,
15,差不多只记得我的名字和你是神经病杀人狂这两件事。,Pretty much just my name and that you're a psycho murderer.,名前と、あなたが殺人狂の変人ってことくらい。,,,,,,,,,
16,欸~这次是失忆的戏码吗，难得有阿米莉娅酱这么有兴致，哪有不配合的道理~,"Oh~ So it's the amnesia bit this time? When Amelia-chan's this into it, I can't not play along~",え～今回の芝居は記憶喪失？アメリアちゃんがそんなノリなら合わせないわけにいかないわ～,,,,,,,,,
17,尽管对方的脸上始终挂着微笑，阿米莉娅心里还是有些发毛。,"Despite the smile never leaving the other's face, Amelia still felt a chill.",相手の顔にはずっと笑みが浮かんでいたが、アメリアの胸には嫌な予感があった。,,,,,,,,,
18,我的名字是克莉斯娜，给你发薪水的上司，准确的说是前上司……？毕竟已经过去了那么久劳务合同什么的早就失效了。,"My name is Krisna—your boss who paid your salary, or rather your former boss...? It's been so long that any labor contract has long since expired.",私はクリスナ。給料を渡してた上司、正確には元上司……？だってあれから随分経ってるから労務契約なんてもう効力切れてるし。,,,,,,,,,
19,所以当务之急是先签一份【新的】劳务合同！为了之后能更好的开展工作，订立清晰明确的契约是必要的。,"So the first order of business is to sign a [new] labor contract! To work better from here on, we need a clear, definite agreement.",だから急ぎなのは【新しい】労務契約にサインすること！このあとスムーズに仕事するために、はっきりした契約が必要なの。,,,,,,,,,
20,我有权拒绝吗？你看起来就很可疑。,Do I have the right to refuse? You look pretty suspicious.,断る権利はある？怪しすぎるんだけど。,,,,,,,,,
21,阿米莉娅毫不掩饰自己的警惕与嘲弄。,Amelia made no effort to hide her wariness and mockery.,アメリアは警戒と嘲りを隠さなかった。,,,,,,,,,
22,当然！这是你的权利，我不会强迫阿米莉娅酱去做一份自己不认可的工作，那样对我司的运营也不利。,Of course! It's your right. I won't force Amelia-chan to take work you don't accept—that wouldn't be good for our operations either.,もちろん！あなたの権利よ。認めない仕事をアメリアちゃんに強制したりしない。会社の運営にも良くないし。,,,,,,,,,
