Id,Text,Text_en,Text_ja,ChoiceText1,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_en,Notification_ja
对话Id,对话正文,,,选项1文本,,,,,,,,
1,诶……？这还是普拉提吗，怎么⼤得这么夸张？！！,Huh...? Is that still a Platy? It's ridiculously huge!!,え……？まだプラティ？なんでこんなにでかいの？！,,,,,,,,,
2,那个眼神……它是认真的。那是绝对要把我撞⻜的眼神。,That look... It's serious. It's definitely going to knock me flying.,あの目……本気だ。確実に私を吹き飛ばすつもりだ。,,,,,,,,,
3,这就是所谓的【杀意感知】（看穿意图）吧？,So this is what they call [Killing Intent Sense] (seeing through intent)?,これがいう【殺意感知】（看破）ってやつか。,,,,,,,,,
4,如果不做点什么的话，绝对会很痛的。,"If I don't do something, it's going to hurt. Bad.",何かしないと、マジで痛い目に遭う。,,,,,,,,,
5,那我还要在这和他缠⽃吗……？,Should I really keep fighting it here...?,ここでこいつとやり合う必要ある……？,是,Yes,はい,否,No,いいえ,,,
6,都找到脸上来了，哪有不还击的道理……我是那种会为了⾯⼦硬抗伤害的热⾎笨蛋吗？显然不是。,It came right at me—of course I'm going to hit back. I'm not the type to take damage just for pride.,顔に来てるんだからやり返すに決まってる。面子でダメージ被る熱血バカじゃない。,,,,,,,,,
7,阿米莉娅果断地逃跑了……,Amelia ran away without hesitation...,アメリアはきっぱり逃げた……,,,,,,,,,
8,使⽤【魔⼒屏障】吧，虽然只是暂时的护盾，但对付你这种程度的头槌⾜够了。,"Let's use [Magic Barrier]. It's only a temporary shield, but it's enough for a headbutt like yours.",【魔力屏障】を使おう。一時的な盾だけど、お前の頭突きなら十分だ。,,,,,,,,,
9,使⽤【魔⼒屏障】吧，虽然只是暂时的护盾，但对付你这种程度的头槌⾜够了。,Let's use [Magic Barrier]. It's only a temporary shield,but it's enough for a headbutt like yours.,【魔力屏障】を使おう。一時的な盾だけど、お前の頭突きなら十分だ。,,,,,,,,
