Id,Note,Name,Name_en,Name_ja,Description,Description_en,Description_ja,AttributeText,AttributeText_en,AttributeText_ja
地图id,备注,名字,,,描述,,,,,
1,建筑,旅行商人,Magic Shop,魔法の店,<color=green>安全</color><br>褪色的木制招牌在微风中轻摆，店内陈列着闪烁微光的法杖与神秘药剂，年迈的店主总是笑眯眯地为冒险者准备着奇迹般的道具。,"<color=green>Safe</color><br>A faded wooden sign sways gently in the breeze. Inside, glimmering staves and mysterious potions are displayed, while the elderly shopkeeper always smiles warmly as he prepares miraculous items for adventurers.",<color=green>安全</color><br>色褪せた木製の看板が微風に揺れ、店内には微かに光る杖や神秘的な薬が並んでいる。年老いた店主はいつも笑顔で、冒険者のために奇跡のような道具を用意している。,并不等价的交换,Unequal Exchange,不等価交換
2,普通事件,魔女手记,Mysterious Event,神秘的な出来事,<color=grey>未知</color><br>在这片广阔的大地上，总会遇到意想不到的奇遇，也许是天降的祝福，也许是命运的捉弄，一切都等待着勇敢者去揭晓。,"<color=grey>Unknown</color><br>On this vast land, unexpected encounters always await. Perhaps a blessing from heaven, perhaps fate's trickery—everything awaits the brave to unveil.",<color=grey>未知</color><br>この広大な大地では、常に予期せぬ出来事に遭遇する。それは天からの祝福か、運命のいたずらか。すべては勇敢な者が解き明かすのを待っている。,未知的旅途,Unknown Journey,未知の旅
3,精英,起源与终结,Greedy One's Smile,強欲者の微笑,<color=red>精英</color><br>他的笑容如同金币般闪亮，却带着腐蚀一切的恶意，那双贪婪的眼睛能看穿最坚固的盔甲，将其化为无用的废铁。,"<color=red>Elite</color><br>His smile shines like gold coins, yet carries malice that corrodes everything. Those greedy eyes can see through the strongest armor, turning it into useless scrap metal.",<color=red>エリート</color><br>彼の笑顔は金貨のように輝くが、すべてを腐食させる悪意を帯びている。その強欲な目は最も頑丈な鎧さえも見通し、役立たずの鉄屑に変えてしまう。,,,
4,精英,红心女仆,Sludge Flower,汚泥の花,<color=red>精英</color><br>在幽暗的沼泽深处，绽放着由无数生命凝聚而成的诡异之花，它汲取着死者的力量，让自己变得更加强大可怖。,"<color=red>Elite</color><br>In the depths of dark swamps blooms a sinister flower formed from countless lives. It draws power from the dead, making itself ever more powerful and terrifying.",<color=red>エリート</color><br>暗い沼地の奥深く、無数の生命が集まってできた不気味な花が咲いている。それは死者の力を吸い上げ、自らをより強力で恐ろしい存在へと変えていく。,,,
5,精英,鼹鼠,Thief King,盗賊王,<color=red>精英</color><br>传说中的盗贼之王，他的手法如同魔法般神奇，能在瞬间让你的钱袋变得空空如也，连你自己都不知道财富是何时消失的。,"<color=red>Elite</color><br>The legendary king of thieves, whose techniques are as magical as sorcery. He can empty your purse in an instant, leaving you unaware of when your wealth vanished.",<color=red>エリート</color><br>伝説の盗賊王。その手口は魔法のように不思議で、一瞬にしてあなたの財布を空にしてしまう。富がいつ消えたのか、あなた自身も気づかないだろう。,,,
6,精英,深渊之触,Deceiver,詐欺師,<color=red>精英</color><br>他拥有着天使般的面容和恶魔般的心灵，甜美的话语如蜜糖般诱人，却暗藏着足以致命的陷阱与欺骗。,"<color=red>Elite</color><br>He possesses an angelic face and a demonic heart. His sweet words are as tempting as honey, yet conceal deadly traps and deceptions.",<color=red>エリート</color><br>天使のような顔立ちと悪魔のような心を持つ。甘い言葉は蜜のように誘惑的だが、その裏には致命的な罠と欺瞞が隠されている。,,,
7,普通,腐化蛛人,Despairing One,絶望者,<color=yellow>普通</color><br>曾经也是满怀希望的冒险者，如今却被绝望完全吞噬，他那空洞的双眼中燃烧着对这个世界的无尽仇恨。,"<color=yellow>Common</color><br>Once a hopeful adventurer, now completely consumed by despair. In his hollow eyes burns endless hatred for this world.",<color=yellow>ノーマル</color><br>かつては希望に満ちた冒険者だったが、今や絶望に完全に飲み込まれている。その虚ろな瞳には、この世界への尽きることのない憎しみが燃えている。,,,
8,精英,幽怨之心,Eerie Forest,不気味な森,<color=red>精英</color><br>这片森林仿佛拥有自己的意识，扭曲的树干上浮现着人类的面孔，所有的枝叶都在刻意避开你的视线，似乎在隐瞒着什么可怕的秘密。,"<color=red>Elite</color><br>This forest seems to possess its own consciousness. Human faces appear on twisted trunks, and all branches deliberately avoid your gaze, as if concealing some terrible secret.",<color=red>エリート</color><br>この森はまるで意識を持っているかのようだ。ねじれた幹には人の顔が浮かび上がり、すべての枝葉は意図的にあなたの視線を避けている。何か恐ろしい秘密を隠しているようだ。,,,
*9,普通,猎食者集群,Eerie Swamp,不気味な沼,<color=yellow>普通</color><br>迷雾缭绕的危险湿地，偶尔冒起的气泡破裂时，会释放出前人临终前看到的最后景象，那些记忆碎片如星光般闪烁。,"<color=yellow>Common</color><br>A mist-shrouded dangerous wetland. When occasional bubbles burst, they release the final visions seen by those who died here, memory fragments flickering like starlight.",<color=yellow>ノーマル</color><br>霧が立ち込める危険な湿地。時折浮かび上がる泡が弾ける時、先人が最期に見た光景が放たれる。その記憶の断片は星の光のようにきらめく。,,,
10,普通,灾厄先兆,Abandoned Mine,廃坑,<color=yellow>普通</color><br>深邃的矿井中回荡着亡灵的哀嚎，锈蚀的矿车里装满了结晶化的眼球，破损的安全帽中爬出无数蠕动的虫子。,"<color=yellow>Common</color><br>Deep mine shafts echo with the wails of the undead. Rusted mine carts are filled with crystallized eyeballs, and countless writhing insects crawl from broken safety helmets.",<color=yellow>ノーマル</color><br>深い坑道には亡霊の嘆きが響き渡る。錆びついたトロッコには結晶化した眼球が満載され、壊れた安全ヘルメットからは無数のうごめく虫が這い出してくる。,,,
