Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,备注,系列,标签,名称,,Name,,剧情描述,,Tips,,描述,,描述,
1,,生物,,风之灵,風之靈,Wind Spirit,風の精霊,风的精灵，流转于空气中的力学信号，自然法师们偏爱的信鸽。,風的精靈，流轉於空氣中的力學訊號，自然法師們偏愛的信鴿。,"Wind spirits, mechanical signals flowing through the air, favored messengers of nature mages.",風の精霊、空気中を流れる力学信号、自然魔術師たちが好む伝書鳩。,每次行动时获得3点护盾,每次行动时获得3点护盾,Gain 3 Shield each time you act.,行動するたびにシールドを3獲得する
2,,契约,,法师资格证书,法師資格證書,Mage Certification,魔術師資格証,法师协会的资格认证，持此证明可在王国内合法从事法师职业的相关活动。,法師協會的資格認證，持此證明可在王國內合法從事法師職業的相關活動。,"Qualification certification from the Mage Association, allowing legal practice of magical professions within the kingdom.",魔術師協会の資格認定証。これを所持することで、王国内で合法的に魔術師関連の活動に従事できる。,每张牌使用后有20%的概率获得1点魔能,每张牌使用后有20%的概率获得1点魔能,20% chance to gain 1 Mana after each card played.,カードを使用するたび、20%の確率でマナを1獲得する
3,,物品,,影劫草,影劫草,Shadow Plunder Grass,影劫草,"一种会突然暴起击穿猎物头部的硬质植物，被猎人们称为""大自然的捕兽夹""。","一種會突然暴起擊穿獵物頭部的硬質植物，被獵人們稱為""大自然的捕獸夾""。","A hard plant that suddenly strikes to pierce prey's heads, called ""nature's bear trap"" by hunters.",突如として獲物の頭部を貫く硬質の植物。狩人たちからは「自然の獣罠」と呼ばれている。,你每次往抽牌堆洗牌时对随机敌人造成20点真实伤害,你每次往抽牌堆洗牌时对随机敌人造成20点真实伤害,Deal 20 True Damage to a random enemy each time you shuffle a card into your draw pile.,山札にカードをシャッフルするたび、ランダムな敵1体に20の貫通ダメージを与える
4,,物品,,白盐,白鹽,White Salt,白塩,在中世纪时曾被人用于驱邪的圣物，基于模因上的克制，对深渊造物似乎也有作用。,在中世紀時曾被人用於驅邪的聖物，基於迷因上的克制，對深淵造物似乎也有作用。,"A sacred relic once used for exorcism in medieval times, seemingly effective against abyssal creatures due to memetic restraint.",中世に魔除けとして用いられた聖遺物。ミーム的な抑制に基づき、深淵の創造物にも効果があるようだ。,战斗开始时随机赋予敌人4层易伤,战斗开始时随机赋予敌人4层{buff_vulnerability}。,"At combat start, apply 4 Stacks of {buff_vulnerability} to a random enemy.",戦闘開始時、ランダムな敵に{buff_vulnerability}を4スタック付与する。
5,,契约,,死契 帕雷凡,死契 帕雷凡,Death Pact Parevan,死の契約 パレヴァン,帕雷凡公司发行的死亡债券，给予那些挣扎在死亡边缘的人们以救赎，或绝望。,帕雷凡公司發行的死亡債券，給予那些掙扎在死亡邊緣的人們以救贖，或絕望。,"Death bonds issued by Parevan Company, offering redemption or despair to those struggling on death's edge.",パレヴァン社が発行する死亡債券。死の淵で苦しむ者たちに救済、あるいは絶望を与える。,"每场战斗开始时恢复15点生命,每场战斗第5回合死亡","每场战斗开始时恢复15点生命,每场战斗第5回合死亡","At combat start, restore 15 Health. Die on turn 5.",各戦闘開始時にHPを15回復するが、各戦闘の5ターン目に死亡する
6,,物品,,红石,紅石,Red Stone,レッドストーン,浓缩于矿石中的烈焰元素，通过外力挤压释放，常常被用于各种魔法道具的制作。,濃縮於礦石中的烈焰元素，透過外力擠壓釋放，常被用於各種魔法道具的製作。,"Flame elements concentrated in ore, released through external pressure, commonly used in magical item crafting.",鉱石に凝縮された炎の元素。外力によって解放され、様々な魔法道具の製作に用いられる。,你每次出牌时对随机敌人附加一层灼烧效果,你每次出牌时对随机敌人附加1层{buff_burn}。,"Each time you play a card, apply 1 Stack of {buff_burn} to a random enemy.",カードを使用するたび、ランダムな敵1体に{buff_burn}を1スタック付与する。
7,,生物,,普拉提原体,普拉提原體,Platy Original Body,プラティ原体,源自构成深渊生态基础循环的普拉提一族，是其母体的核心碎片。,源自於構成深淵生態基礎循環的普拉提一族，是其母體的核心碎片。,"Originating from the Platy clan that forms the basic cycle of abyssal ecology, this is a core fragment of their matrix.",深淵の生態系の基礎循環を構成するプラティ一族に由来し、その母体の核となる欠片。,"每场战斗开始时,给与所有敌人4层失格","每场战斗开始时,给与所有敌人4层失格","At combat start, all enemies gain 4 Stacks of {buff_degrade}.",各戦闘開始時、全ての敵に{buff_degrade}を4スタック付与する。
8,,概念,,怨恨,怨恨,Resentment,怨恨,这些近乎凝结成实体的怨恨，是支撑深渊存在的中流砥柱。,這些幾乎凝結成實體的怨恨，是支撐深淵存在的中流砥柱。,"These resentments, nearly condensed into physical form, are the backbone supporting the abyss's existence.",ほとんど実体と化したこれらの怨念は、深淵の存在を支える中核である。,所有敌人每次行动时，对其造成你已损失生命值20%的真实伤害。,所有敌人每次行动时，对其造成你已损失生命值20%的真实伤害。,"Whenever an enemy acts, deal True Damage equal to 20% of your lost Health to them.",全ての敵が行動する時、あなたの失ったHPの20%分の貫通ダメージを与える
9,,物品,,血髓鸣泣,血髓鳴泣,Blood Marrow Cry,血髄の鳴泣,一种人工合成的赤紫色结晶体，常常被雕琢为各种首饰佩戴在有机生命的身上，可以激发宿主的活力——供血充足的前提下。,一種人工合成的赤紫色結晶體，常被雕琢為各種首飾佩戴在有機生命的身上，可以激發宿主的活力－供血充足的前提下。,"An artificially synthesized crimson-purple crystal, often carved into jewelry worn by organic life, capable of stimulating host vitality—provided blood supply is sufficient.",人工的に合成された赤紫色の結晶体。しばしば様々な装飾品に加工され、有機生命体の身に着けられる。宿主の活力を引き出すことができる――十分な血液供給があればの話だが。,"魔能上限+1,战斗开始时获得1层狂暴",魔能上限+1，战斗开始时获得2层{buff_bleeding}。,"Max Mana +1. At combat start, gain 2 Stacks of {buff_bleeding}.",最大マナ+1。戦闘開始時に{buff_bleeding}を2スタック獲得する。
