Id,Text,Text_en,Text_ja,ChoiceText1,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_en,Notification_ja
对话Id,对话正文,,,选项1文本,,,,,,,,
1,阿⽶莉娅缓步⾛在⻓廊上，⾼跟鞋敲击地⾯的声⾳——哒、哒、哒，清晰得有些刺⽿。,Amelia walks slowly down the corridor; the click of her heels—tap,tap,tap—is sharp and clear.,アメリアが廊下をゆっくり歩く。ヒールが床を打つ音——カツ、カツ、カツ——がくっきりと耳に刺さる。,,,,,,,
2,她在⼀排空荡荡的画框前停下脚步。,She stops before a row of empty frames.,彼女は空っぽの額縁の前に足を止めた。,,,,,,,,,
3,这是⼀⽅本该不处于世的时空。,This is a time and place that should not exist in this world.,これは世にあってはならない時空だ。,,,,,,,,,
4,阿⽶莉娅⾃⾔⾃语着，不知道在和谁说话。,Amelia mutters to herself—it's unclear who she's talking to.,アメリアは独り言をつぶやいている。誰に向かって話しているのかわからない。,,,,,,,,,
5,你知道吗？对于魔⼥来说，所谓的【预⾔】，并不是去窥探未来那种⽆聊的把戏。,You know? For witches,[Prophesy] isn't some boring trick about peeking at the future.,知ってる？魔女にとって【予言】って、未来を覗くつまらない芝居じゃないの。,,,,,,,,
6,未来那种东西，如果不去观测，它就是⼀团乱糟糟的颜料。,The future,if unobserved,is just a messy blob of paint.,未来なんて、観測しなければぐちゃぐちゃの絵の具の塊よ。,,,,,,,
7,只要我们将画作放⼊画框，钉在墙上……,Once we put the painting in the frame and nail it to the wall...,描き上げた絵を額に入れて、壁に打ち付けさえすれば……,,,,,,,,,
8,那幅画⾥的景⾊，就会被强制收束为唯⼀的真理，变为既定的【事实】,the scene in that painting is forced into one truth—into established [fact].,あの絵の景色は、唯一の真理へと強制され、既定の【事実】になる。,,,,,,,,,
9,"这⾥有⼋幅杰作的草稿……⽆论是喜剧，悲剧，还是荒诞剧，只要是所选中的，世界就会乖
乖照着演。","Here are drafts of eight masterpieces... Comedy, tragedy, or absurd—whatever we choose, the world will play it out.",ここに八つの傑作の下絵がある……喜劇でも悲劇でも不条理劇でも、選ばれたものが世界はそのまま演じる。,,,,,,,,,
10,魔⼥的能⼒就是如此不讲道理~,A witch's power is just that unreasonable~,魔女の力はそんなに理不尽なの～,,,,,,,,,
11,不过，⼀旦挂上去，可就不能反悔了哦？,But once it's hung,there's no take-backs,okay?,でも一度掛けたら、やり直しはきかないわよ？,,,,,,,
12,"既然是你亲⼿布置的展厅，⽆论遇到什么地狱般的景⾊……
都要笑着欣赏到最后哦？","Since it's your own exhibition, no matter what hellish scene you meet... keep smiling and see it through to the end, okay?",あなたが自ら仕掛けた展示会なんだから、どんな地獄絵図に遭っても、最後まで笑って楽しんでね？,,,,,,,,,
13,阿⽶莉娅转⾝⾛向第⼀幅巨⼤的画作，⾝影融⼊⾊彩的漩涡中。,Amelia turns and walks toward the first huge painting; her figure melts into a whirl of color.,アメリアは振り向き、最初の巨大な絵に向かって歩く。姿が色彩の渦に溶けていく。,,,,,,,,,
14,不过，如果第⼀站能有下午茶的话，我也不是不能给你打个好评。,Still,if the first stop has afternoon tea,I might just give you a good review.,ただ、最初の目的地でアフタヌーンティーが出るなら、高評価もありね。,,,,,,,
