Id,Note,Image,Name,Description,Name_en,Description_en,Name_ja,Description_ja
Id,备注,图片路径,标题,正文,Title,Description,,
Test1,,Images/Tutorial/House/主页面,欢迎参与测试~！,《魔女：终末旅途》是一款卡牌肉鸽游戏，你可以出发冒险，使用卡牌进行战斗和游戏，获取真理之晶，利用真理之晶的资源解锁和升级魔女屋内的设施，提高属性或者解锁更多魔女，卡牌，遗物，也可以创建自定义卡牌加入游戏，来挑战更高的难度,Welcome to the Test~!,"Witch: The Final Journey is a card roguelike game. You can embark on adventures, use cards for combat and gameplay, obtain Crystals of Truth, and use them to unlock and upgrade facilities in the Witch's House. This allows you to improve attributes, unlock more witches, cards, and relics. You can also create custom cards to add to the game and challenge higher difficulties.",テストへようこそ～！,「魔女：終末の旅」はカードローグライクゲームです。冒険に出かけ、カードを使って戦闘やゲームを進め、真理の結晶を手に入れましょう。真理の結晶を使って魔女の家の施設を解放・アップグレードし、ステータスを向上させたり、より多くの魔女、カード、遺物を解放したりできます。また、カスタムカードを作成してゲームに加え、より高い難易度に挑戦することも可能です。
Test2,,Images/Tutorial/House/主页面,欢迎参与测试~！,"游戏当前版本号为0.7.15.3
受限于工期和制作组的产能，游戏目前仍有许多音画部分素材缺失，我们会以日为单位持续完善改进
有任何问题，无论是关于游戏设计的，灵感想法，剧情，人设，音乐，美术，bug等等建议或者意见都可以在粉丝群艾特我们反馈，我们会认真对待每一位玩家的意见并积极改进！
感谢您的耐心~",Welcome to the Test~!,"The current game version is 0.7.15.3.
Due to production schedules and team capacity, many audio and visual assets are still missing. We will continue to improve and complete them on a daily basis.
If you have any questions, ideas, or suggestions regarding game design, story, character design, music, art, bugs, etc., please feel free to contact us in the fan group. We take every player's feedback seriously and will actively make improvements!
Thank you for your patience~",テストへようこそ～！,"現在のゲームバージョンは0.7.15.3です。
制作期間と開発チームのリソースの都合上、現在も多くの音声やグラフィック素材が不足していますが、日々改善と実装を続けてまいります。
ゲームデザイン、アイデア、ストーリー、キャラクターデザイン、音楽、アート、バグなど、ご質問やご意見がございましたら、ファンコミュニティでお気軽にご連絡ください。プレイヤーの皆様からのご意見を真摯に受け止め、積極的に改善に努めます！
ご辛抱いただき、ありがとうございます～"
Outside upgrades,,Images/Tutorial/House/升级,局外升级,"点击魔女屋中的克莉斯娜女神像可以打开魔女屋升级面板，在这里你可以提升魔女的基础属性，金币收益，或者解锁更多魔女以及其他拓展内容。

魔女屋升级需要的真理之晶可以通过完成冒险来获得（即使冒险失败也会获得部分真理之晶）",Out-of-Game Upgrades,"Click the Krisna statue in the Witch's House to open the upgrade panel. Here, you can enhance the witch's base attributes, increase gold income, or unlock more witches and other content.

The Crystals of Truth required for upgrades can be obtained by completing adventures (you will still get some even if you fail).",ゲーム外でのアップグレード,"魔女の家のクリスナ女神像をクリックすると、アップグレード画面が開きます。ここでは、魔女の基本ステータスを向上させたり、ゴールドの獲得量を増やしたり、新しい魔女やその他のコンテンツを解放したりできます。

アップグレードに必要な真理の結晶は、冒険を完了することで獲得できます（冒険に失敗しても一部獲得可能です）。"
Difficulty selection,,Images/Tutorial/House/难度选择,难度选择,"点击魔女屋中的鬼神像可以打开难度面板，选择合适的词条可以提高游戏的难度和真理之晶的获取倍率，15级难度会达到真理之晶获取倍率的上限
您也可以继续提高难度挑战自身",Difficulty Selection,"Click the demon statue in the Witch's House to open the difficulty panel. Selecting appropriate modifiers can increase the game's difficulty and the multiplier for obtaining Crystals of Truth. The maximum multiplier is reached at difficulty level 15.
You can continue to increase the difficulty to challenge yourself.",難易度選択,"魔女の家の鬼神像をクリックすると、難易度パネルが開きます。適切な項目を選択することで、ゲームの難易度と真理の結晶の獲得倍率を上げることができます。難易度15で獲得倍率の上限に達しますが、
さらに難易度を上げて自分自身に挑戦することも可能です。"
SafeBox,,Images/Tutorial/Adventure/保险箱,保险箱,保险箱内可以储存金币，遗物，卡牌等资源，在游戏开局时，保险箱内的物品可以带入游戏内，通关游戏，或者在游戏中遇到保险箱也可以将游戏内的道具带回魔女屋,Safe Box,"The safe box can be used to store resources like gold, relics, and cards. At the beginning of a run, items from the safe box can be brought into the game. After clearing a run, or by encountering a safe box during a run, you can also bring in-game items back to the Witch's House.",金庫,金庫にはゴールド、遺物、カードなどのリソースを保管できます。ゲーム開始時、金庫内のアイテムをゲームに持ち込むことができます。ゲームをクリアしたり、ゲーム中に金庫を見つけたりすると、ゲーム内のアイテムを魔女の家に持ち帰ることもできます。
Illustrated book,,Images/Tutorial/House/图鉴,图鉴,点击魔女屋中的书架可以打开图鉴，用于查阅已发现的卡牌，遗物等,Codex,"Click the bookshelf in the Witch's House to open the Codex, where you can view discovered cards, relics, and other items.",図鑑,魔女の家の本棚をクリックすると図鑑が開きます。発見したカードや遺物などを確認できます。
Announcement,,Images/Tutorial/House/主页面,公告,点击魔女屋中的小黑板可以查看游戏公告，查询游戏最新更新的内容，游戏的变化，或者历史更新记录，游戏的公告是游戏内的数据，需要更新游戏才会刷新，不是网游的实时公告,Announcements,"Click the small blackboard in the Witch's House to view game announcements, check the latest update content, game changes, or historical update records. The announcements are in-game data and will only refresh when the game is updated; they are not real-time online announcements like in an online game.",お知らせ,魔女の家の小さな黒板をクリックすると、ゲームのお知らせを確認できます。最新のアップデート内容、ゲームの変更点、過去の更新履歴などを閲覧できます。これらのお知らせはゲーム内データであり、ゲームのアップデート時に更新されるもので、オンラインゲームのようなリアルタイムのお知らせではありません。
CardEditor,,Images/Tutorial/House/自定义卡牌,自定义卡牌,消耗真理之晶可以编辑卡牌，编辑好的卡牌需要替换掉默认的卡牌池才会生效,Custom Cards,You can spend Crystals of Truth to edit cards. Edited cards will only take effect after replacing cards in the default card pool.,カスタムカード,真理の結晶を消費してカードを編集できます。編集したカードは、デフォルトのカードプールと入れ替えることで効果を発揮します。
DesChoice,,Images/Tutorial/MapSelect/命运选择,命运选择,"游戏地图遭遇的大部分情景都可以自由选择
在游戏开始时，会给玩家分发一组命运牌手牌
玩家需要将手牌填入画框节点内，直到所有节点填满，然后点击下一天开始游戏
游戏会按照命运牌的顺序依次执行，全部执行后进入下一天，重新分发手牌
需要注意的是有一些节点会在一开始就锁定，无法替换",Destiny Selection,"Most scenarios encountered on the game map can be freely chosen.
At the start of the game, a hand of Destiny Cards is dealt to the player.
The player must place these cards into the frame nodes until all nodes are filled, then click ""Next Day"" to start.
The game will proceed in the order of the Destiny Cards. After all are executed, the next day begins, and a new hand is dealt.
Note that some nodes are locked from the start and cannot be replaced.",運命選択,"ゲームマップで遭遇するほとんどの状況は自由に選択できます。
ゲーム開始時、プレイヤーには一組の運命カードが配られます。
プレイヤーは全てのノードが埋まるまで、これらのカードを絵画のノードに配置し、「次の日へ」をクリックしてゲームを開始します。
ゲームは運命カードの順に進行し、全て実行されると次の日になり、新しい手札が配られます。
一部のノードは最初からロックされており、交換できない点にご注意ください。"
